,Authors,Title,Cities,Publisher,Years,Fund,Segni
45,"Alighieri, Dante",La Divina Commedia,"Milano, Società Editrice La Milano",Barbera,1943,BTB Segn. 138 ,nan
46,"Alighieri, Dante",La Divina Commedia,"Firenze, Bemporad",Hoepli,1964,BAL ,nan
47,"Alighieri, Dante","La Divina Commedia, le Rime, iversi della Vita Nuova e le canzoni del Convivio","Torino,Einaudi",Einaudi,1921,BTB Segn. 139 ,nan
48,"Alighieri, Dante",La Divina Commedia. Il Paradiso,Firenze,s.d.,1965,BTB Segn. 142 ,nan
49,"Alighieri, Dante","Le opere. Testo critico della Società dantesca italiana.G. Parodi, F. Pellegrini, E. Pistelli, P. Rajna, E. Rostagno, G. Vandelli",Milano,Bemporad,1900,BAL ,nan
50,Alla santa memoria del Cav.,Rime,"Firenze, Rinascimento del Libro",Einaudi,1911,BTB Segn. 144 ,Nota di possesso autografa di Clara Gadda.
51,"Allem, Maurice",La Vita Nuova,"Milano, Istituto EditorialeItaliano",Sansoni,1928,BTB Segn. 143 ,Parzialmente intonso.
52,"Alvisi, Giacomo Giuseppe",La Vita Nuova,,Hoepli,1921,BAL ,Nota di possesso illeggibile e data 03.1917.
53,"Amari, Michele",Vita nuova. Introduzione di G.Manacorda,,Rinascimento del Libro,1921,BAC ,nan
54,"Amati, Amato",La Vita Nuova e il Convivio conla vita di Dante scritta da Boccaccio,Napoli,s.d.,1948,BAC ,nan
55,"Ambrosini, Igino",.Emilio Gadda,Milano,.Emilio Gadda.,1883,BTB Segn. 145 ,nan
56,"Amedeo, Giovanni",Alla santa memoria di Carlotta  Gadda Belloni,"Milano, LibreriaPaolo Carrara",Alla santa memoria di Carlotta  Gadda Belloni.,1942,BTB Segn. Op. 28 ,Nota di possesso autografa di AdeleGadda   Lehr.
57,America d’altri tempi. Mostra," La vie quotidienne sous le SecondEmpire, Paris",Annoni,Hachette,1899,BTB Segn. 2059 ,Intonso.
58,., Intenti politici dei diversi statid’Europa nelle questioni orientali,Firenze,Morano,1970,BTB Segn. 146 ,Dedica dell’autore.
59,"Amicucci, Ermanno",I Musulmani in Sicilia,Mostradi 138 incisioni americane dal,Bompiani,1722,BTB Segn. 2214 ,nan
60,"Anceschi, Luciano",Onoranze centenarie a M. Gaetana Agnesi,"Vittorini, Milano",LibreriaPaolo Carrara,1942,BTB Segn. 1236 ,nan
61,"Andolfi, Otello","Alpinia intimo. Disegni di F. Velan. Stresa, Tip",,s.d.,1939,BTB Segn. 1496 ,Pieghe e sottolineature.
62,"André, Albert",Il nipote,Milano,Vallecchi,1945,BTB Segn. 745 ,Dedica dell’autore. Parzialmente intonso.
63,"André, Louis",America d’altri tempi,"Milano, Istituto Editoriale Italiano",America d’altri tempi. Mostradi 138 incisioni americane dal,1930,BTB Segn. 1444 ,nan
64,"Andreini Galli, Nori","Americana. Raccolta di narratori dalle origini ai nostrigiorni.Introduzione di E. Cecchi. Traduzioni di G. Ferrata, E. Fulchignoni, P. Gadda Conti, C. Li nati, E. Montale, A. Moravia, U.Morra, C. Pavese, G. Piovene, E",Roma,Bompiani,1950,BTB Segn. 2204 ,nan
65,"Anelli, Angelo",,(«Les Maîtres»),.,1967,BTB Segn. 1593 ,nan
66,"Angeli, Diego","Nizza e l’Italia. Con documenti autografi, stampe e fotografie","Paris, Michel",Mondadori,1934,BTB Segn. 147 ,nan
67,"Angeli, Siro",Civiltà delle lettere,Parma,Istituto Editoriale Italiano,1934,BTB Segn. 1445 ,nan
68,Poesia»: 5).,Don Giovanni di Volfango Mozart,Sesto SanGiovanni,Formìggini,1962,BTB Segn. 1339 ,nan
69,"Angelini, Arnaldo Maria","Edouard Manet. Paris, Braun, s.d",Milano,con illustrazioni.,1947,BAL ,Dedica dell’autore.
70,"Angelini, Cesare",Louis XIV et l’Europe,"Milano, Mondadori",Michel,1942,BTB Segn. 148 ,nan
71,"Angelini, Cesare",Un cerchio d’ansia. Introduzione diC. Betocchi,,Guanda,1942,BTB Segn. Op. 109 ,nan
72,"Angelini, Cesare",L’italiana in Algeri,Milano,Barion,1935,BTB Segn. 746 ,nan
73,"Angelini, Cesare",La vita di Guglielmo Shakespeare,Torino,Treves,1941,BTB Segn. 747 ,nan
74,"Angelini, Cesare",L’ultima libertà,"Firenze, LeMonnier",Mondadori,1951,BAL ,Biglietto omaggio dell’autore.
75,"Angelini, Cesare",,"Amici di strada, Lanciano,Carabba",.,1955,BTB Segn. 149 ,Indicazione autografa del contenuto sul dorso.
76,"Angelini, Cesare",La ricostruzione degli impiantiidroelettrici sul Velino e sul Neradella Soc. «Terni»,Firenze,AEI,1952,BTB Segn. 1497 ,nan
77,"Angelini, Cesare",Manzoni,Torino,UTET,1953,BTB Segn. 150 ,nan
78,"Angelini, Cesare",Notizie di poeti,"Milano,Bompiani",LeMonnier,1968,BTB Segn. 151 ,Dedica dell’autore in data 28.4.1952.
79,"Angrisani, Gaetano","Angioletti, Giovanni Battista",Firenze,Carabba,1951,BAL,Dedica dell’autore.
80,Anno bisestile 1932. Prefazione,Donata,Roma,Le Monnier,1876,BAL ,nan
81,Annuario del teatro italiano,Un europeo d’Italia. Inchiestain occidente,"Milano,Palazzi",ERI,1932,BTB Segn. Op. 114 ,nan
82,Annuario del teatro italiano,Giobbe uomo solo,"Venezia, Neri Pozza",Bompiani,1968,BTB Segn. Op. 47,Nota di possesso autografa in data 2.09.1931 Milano.
83,Annuario del teatro italiano,Il giorno del giudizio. Donata,Napoli,Vallecchi,1969,BTB Segn. 2401 ,nan
84,Anonimo (ma C.E. Gadda),Inchiesta segreta,,Casini,1970,BTB Segn. 2402 ,nan
85,Anonimo romano,Gli italiani sono onesti,Firenze,Palazzi,1925,BTB Segn. 2403 ,nan
86,Anselmo d’Aosta,Lavori «in corso»,Lanciano,Neri Pozza,1936,BAL ,nan
87,"Anti, Carlo", Storia d’Italia dal IV al XIX secolo scritta per le classi liceali,,Morano,1943,BTM ,nan
88,Antiche rime italiane tratte,Anno bisestile,,Anno bisestile,1912,BTB Segn. 152 ,Segnalibro.
89,"Antongini, Tom",,Milano,,1931,BTB Segn. 1781 ,nan
90,Antologia della prosa italiana,,,,1938,BTB Segn. 2175 ,nan
91,.,,,,1961,BTB Segn. 768 ,Parzialmente intonso.
92,Antologia di scrittori lombardi,Annuario generale,,Annuario generale,1898,BAL ,nan
93,"Apollinaire, Guillaume","Anonimo (ma C.E. Gadda) Gli impianti elettrici della Città del Vaticano.S.l., s.e",,s.d. (ma,1948,BTB Segn. 885-887 ,volume 1 in doppia copia: una copiaintonsa ed una parzialmente intonsa;volume 2 intonso.
94,"Apollinaire, Guillaume",Vita di Cola di Rienzo,Alpignano,Sansoni,1959,BTB Segn. 801-802 ,nan
95,Approbation du livre de pietè,Monologio. Prefazione di G. Boine,"Paris, NRF Gallimard",Carabba,1964,BAL ,nan
96,"Arbasino, Alberto","Policleto. Roma, Istituto Nazionale L.U.C.E",,Istituto Nazionale L.U.C.E.,1963,BTB Segn. 944 ,nan
97,"Arbasino, Alberto",dai memoriali bolognesi. Collana a curadell’Istituto di filologia romanzadell’Università di Roma»: 23),"Milano,Feltrinelli",dai memoriali bolognesi. Collana a curadell’Istituto di filologia romanzadell’Università di Roma»: 23).,1971,BTB Segn. 945 ,nan
98,"Arbasino, Alberto",Vita segreta di GabrieleD’Annunzio,Milano,Mondadori,1972,BAL ,nan
99,"Arbasino, Alberto", Antologia della poesia italiana contemporanea.Intonso,"Milano, Feltrinelli",* Antologia della poesia italiana contemporanea.Intonso.,1928,BTB Segn. 153-154 ,Segnalibro.
100,"Arbasino, Alberto",contemporanea,"Torino, Einaudi",contemporanea.,1945,BAL ,nan
101,"Aretino, Pietro",Antologia della prosa scientifica italiana del ’600,"Torino, Einaudi",Antologia della prosa scientifica italiana del ’600.,1943,BAL ,nan
102,"Aretino, Pietro",,Milano,.,1945,BAL ,nan
103,"Aretino, Pietro",contemporanei,Torino,Tallone,1942,BAL ,nan
104,"Aretino, Pietro",Alcools: poèmes,Milano,Alcools: poèmes,1936,BTB Segn. 155 ,nan
105,"Argan, Giulio Carlo",Calligrammes,"Roma, Colombo",NRF Gallimard,1928,BTB Segn. 156 ,nan
106,"Ariosto, Ludovico","de la jeune fille. s.l., s.e",Firenze,s.d.,1934,BTB Segn. 157 ,Nota di possesso autografa in data 1945 Roma.
107,"Ariosto, Ludovico",L’anonimo lombardo,Firenze,Feltrinelli,1966,BTB Segn. 158 ,nan
108,"Ariosto, Ludovico",Certi romanzi,"Firenze,Barbera",Feltrinelli,1913,BTB Segn. 2216 ,nan
109,"Ariosto, Ludovico",Fratelli d’Italia,,Feltrinelli,1920,BTB Segn. 159 ,nan
110,"Ariosto, Ludovico",Le piccole vacanze,"Bari, Laterza",Einaudi,1920,BAL ,nan
111,"Ariosto, Ludovico",Il principe costante,"Firenze, Barbera",Einaudi,1920,BAL ,nan
112,Aristotele,Lettere. Con uno scritto di F. DeSanctis,"Torino, Einaudi",Bietti,1924,BTB Segn. 160-162 ,Postille nel secondo e terzo volume.
113,Aristotele,Lettere,Nota di possesso autografa di ClaraGadda e sottolineature,Einaudi,1919,BAL ,nan
114,Aristotele,Piacevoli e capricciosi ragionamenti,Bari,Bompiani,1931,BTB Segn. 163 ,nan
115,Aristotele,L’umanità di Cristo,"Bari, Laterza",Colombo,1942,BAL ,nan
116,Aristotele,Tosi,Leipzig,Le Monnier,1921,BTB Segn. 1804 ,Sottolineature e postille.
117,Aristotele,Opere minori,Leipzig,Salani,1935,BTB Segn. 1805 ,nan
118,Aristotele,Orlando furioso. Vol. II,,Barbera,1914,BTB Segn. 1807 ,nan
119,Aristotele,"Orlando furioso. Vol. III. Firenze,Barbera",Bari,Barbera.,1956,BTB Segn. 1809-1810 ,nan
120,"Arland, Marcel",Orlando furioso,Leipzig,Laterza,1968,BTB Segn. 1808 ,nan
121,"Leipzig, Reclam, 1938",Orlando furioso,"Paris, NRFGallimard",Barbera,1925,BTB Segn. 1806 ,nan
122,.,Orlando furioso,,Einaudi,1768,BTB Segn. 1811 ,nan
123,.,"De arte poetica liber. Leipzig,Teubner, s.d",,s.d.Nota di possesso autografa di ClaraGadda e sottolineature,1845,BTB Segn. 946 ,Nota di possesso autografa in data15.10.1931 Milano. Pieghe.
124,"Arpesani, Camillo",Etica nicomachea,Roma,Laterza,1966,BTB Segn. 1155 ,Etichetta della Biblioteca NazionaleBraidense. Sottolineature e postille aDie Appelmänner.
125,L’arte in Italia dai secoli più,"Introduzione alla filosofia: dallaMetafisica, libri IIV; IX,10; XI,18","Milano,Hoepli",Laterza,1930,BTB Segn. 1155bis ,nan
126,"Artini, Ettore",Kategorien,"Trieste, Trieste Editorialelibraria",Felix Meiner,1924,BTB Segn. 2029,nan
127,"Asciamprener, Spartaco",Metaphysik,Milano,Felix Meiner,1948,BAL ,nan
128,"Ascoli, Graziadio Isaia","Il primo libro della metafisica.» Con un saggio di A. Weber. Lanciano, Carabba, s.d. («Cultura dell’anima»)",,s.d. («Cultura dell’anima»).,1932,BTB Segn. 2321 ,nan
129,"Ascoli, Guido"," I principi primi: dalla Metafisica, libri 89, 12",Milano,Laterza,1940,BTB Segn. 2030 ,Sottolineature e postille.
130,L’assassinio di Winckelmann.,Topik,"Torino,Giappichelli",Felix Meiner,1963,BTB Segn. 164 ,nan
131,"Astolfi, Giovanni",Essais critiques,Torino,NRFGallimard,1956,BTB Segn. 2410 ,Parzialmente intonso.
132,Atlante geografico metodico.,(«Deutsche Literatur. ReiheRomantik»: 22),Gli  atti originali del processocriminale (,(«Deutsche Literatur. ReiheRomantik»: 22).,1970,BTB Segn. 2111 ,Nota di possesso autografa in data1.06.1925 Milano. Postille.
133,Attività geografica del TCI,,Milano,.,1844,BAL ,nan
134,L’attività svolta dalla Terni,Il manichino tragico. Introduzionedi A,Milano,Lettere d’oggi,1931,BTB Segn. 2061-2062 ,nan
135,"Aubry, Octave",Lavorazione dei metalli,"Novara, Istituto geografico DeAgostini",Hoepli,1957,BTB Segn. 2284 ,nan
136,"Aubry, Octave",Arsa – società anonima carbonifera,"Milano, Società Editrice Riviste Industrie Elettriche",Trieste Editorialelibraria,1930,BAL ,nan
137,"Auerbach, Erich","remoti ai tempi nostri. Sguardo d’insieme al Piemonte, allaLombardia e al Canton Ticino;Torino, Milano",Paris,TCI,1930,BTB Segn. Op. 103 ,nan
138,"Auerbach, Erich","I minerali. Milano, Hoepli(«Manuali Hoepli»), con illustrazioni",Milano,con illustrazioni.,1942,BTB Segn. Op. 107 ,nan
139,.,Canti,Torino,Schwarz,1941,BTB Segn. 1595 ,Presente solo il II volume.
140,"Augustinus, Aurelius (santo)",Scritti sulla questione della lingua,Torino,Giappichelli,1960,BTB Segn. 1594 ,nan
141,"Aymé, Marcel",Lezioni elementari di analisi matematica,Firenze,Petrini,1932,BTB Segn. 2419 ,nan
142,"Babinger, Franz",,,.Gli  atti originali del processocriminale (,1931,BTB Segn. 1221 ,nan
143,"Bacchelli, Riccardo",per l’agente di campagnanelle pratiche operazioni d’agrimensura,"Novara, Merati e Compagno",Stella,1927,BTB Segn. 749 ,nan
144,"Bacchelli, Riccardo",Atlante Garzanti. Enciclopedia geografica,"Paris, NRFGallimard",Garzanti,1957,BAL ,Nota di possesso di Gerolamo CappelliLehr.
145,"Bacchelli, Riccardo",,"Torino,Einaudi",Istituto geografico DeAgostini,1942,BTB Segn. 947 ,Sottolineature e postille. B
146,"Bacchelli, Riccardo",nel triennio,"Milano, Ceschina",nel triennio,1942,BTB Segn. 1724 ,nan
147,"Bacchelli, Riccardo",durante l’ultimo decennio nelcampo delle costruzioni idroelettriche,Milano,Società Editrice Riviste Industrie Elettriche,1942,BTB Segn. 165 ,Dedica dell’autore in data 31.10.1939.Postille.
148,"Bacchelli, Riccardo",Napoléon III,"Milano, Garzanti",Tallandier,1935,BTB Segn. 166 ,Dedica dell’autore in data 27.7.1932.
149,"Bacchelli, Riccardo",Il Secondo Impero,"Milano, Ce schina",Garzanti,1938,BTB Segn. 167 ,Timbro dell’autore. Intonso.
150,"Bacchelli, Riccardo",Introduzione alla filologia romanza. Massei,"Milano,Mondadori",Einaudi,1954,BAL ,nan
151,"Bacchelli, Riccardo",Mimesis. Il realismo nella letteratura occidentale. Hinterhäuser. Introduzione di A. Roncaglia,"Milano,La Cultura",Einaudi,1940,BTB Segn. 168 ,Dedica dell’autore in data 6.12.1968.
152,"Bacchelli, Riccardo",Un augurio a Raffaele Mattioli,Milano,Sansoni,1955,BTB Segn. 169 ,nan
153,"Bacchelli, Riccardo",,"Milano,Ceschina",.,1932,BTB Segn. 170-171 ,Dedica dell’autore in data 8.1931. Sottoli neature e postille.
154,"Bacchelli, Riccardo",I soliloqui,"Milano,Mondadori",Merati e Compagno,1928,BTB Segn. 172-173 ,nan
155,"Bacchelli, Riccardo",Le vaurien,Milano,NRFGallimard,1930,BAL ,nan
156,"Bacchelli, Riccardo",Maometto il conquistatore. Traduzione di E. Polacco,"Milano, Garzanti",Einaudi,1949,BTB Segn. 174 ,Intonso.
157,"Bacchelli, Riccardo","Acque dolci e peccati. Novelle,fiabe e racconti","Milano,Garzanti",Ceschina,1857,BTB Segn. 175 ,Dedica dell’autore. Intonso.
158,"Bacchelli, Riccardo",Amore di poesia. Poemi lirici;Memorie; Riepilogo; Liriche,Milano,Preda,1912,BTB Segn. 176 ,Dedica dell’autore.
159,"Bacchelli, Riccardo",Il brigante di Tacca del Lupo.Racconti disperati,"Milano, TrevesGarzanti",Garzanti,1942,BTB Segn. 177 ,Dedica dell’autore in data 15.12.1934.Nota di possesso autografa in data20.12.1934. Postille.
160,"Bacchelli, Riccardo",La città degli amanti,Milano,Ce schina,1948,BTB Segn. 178-180 ,Dedica dell’autore.
161,"Bacchelli, Riccardo",La città degli amanti,Milano,Mondadori,1921,BAL ,nan
162,"Bacchelli, Riccardo",Confessioni letterarie,"Milano,Rizzoli",La Cultura,1919,BTB Segn. 181 ,nan
163,"Bachofen, Jakob",La congiura di Don Giuliod’Este,"MilanoRoma,TrevesTreccaniTumminelli",Treves,1911,BTB Segn. 182 ,Dedica dell’autore in data 8.5.1932.
164,"Bacon, Francis",Il diavolo a Pontelungo,Bologna,Ceschina,1915,BTB Segn. 183 ,nan
165,"Bacon, Francis",Il diavolo al Pontelungo,"Una passione coniugale, Milano,Ceschina",Mondadori,1948,BAL ,Dedica dell’autore.
166,"Badoaro, Giacomo",L’elmo di Tancredi ed altre novelle giocose,Milano,Garzanti,1924,BTB Segn. 1447 ,nan
167,"Badoni, Piera",La fine di Atlantide,Paris,Garzanti,1931,BTB Segn. 1813 ,nan
168,"Bædeker, Karl",Il fiore della Mirabilis,"Bari, Laterza",Garzanti,1848,BTB Segn. 1812 ,nan
169,"Bædeker, Karl",Mal d’Africa,"Milano, SuviniZerboni",Treves,1853,BTB Segn. 1442 ,nan
170,"Bædeker, Karl",Il mulino del Po. Romanzo storico,"Milano,Sormani",TrevesGarzanti,1929,BTB Segn. 184 ,nan
171,"Bagni, Tullio",Il mulino del Po,Leipzig,Rizzoli,1930,BTB Segn. 2304 ,Nota di possesso autografa in data28.09.1922 Berlino.
172,"Bailly, Auguste", Il mulino del Po. Mondo vecchiosempre nuovo,Leipzig,Garzanti,1950,BTB Segn. 2305 ,nan
173,"Bainville, Jacques","Nel fiume della storia. Riflessioni,discorsi e saggi storici",Leipzig,Rizzoli,1941,BTB Segn. 2304 ,Postille.
174,"Bainville, Jacques",Oggi domani mai,Firenze,TrevesTreccaniTumminelli,1956,BTB Segn. 2063 ,Nota di possesso autografa in data 4.06. 1925 Milano.
175,"Balbo, Cesare",La ruota del tempo. Scritti d’occasione,Paris,L’Italiano,1952,BTB Segn. 1448 ,nan
176,"Balbo, Cesare",Id,Paris,Ceschina,1970,BTB Segn. 1596 ,nan
177,"Baldini, Antonio",Le madri e la virilità olimpica.Studi sulla storia segreta dell’antico mondo mediterraneo. Introduzione di J. Evola,Paris,Bocca,1949,BTB Segn. 1597 ,nan
178,"Baldini, Antonio",Novum Organum,Con una prefazione e una appendice di storia del Risorgimento dal,Hachette,1963,BTB Segn. 1499 ,nan
179,"Baldini, Antonio",Novum Organum,"Firenze, Le Monnier",Laterza,1966,BAL ,nan
180,"Baldini, Antonio",Il ritorno di Ulisse in patria,Seconda edizione molto accresciuta ma niente aggiornata de «La dolce calamita» (,SuviniZerboni,1917,BTB Segn. 185 ,nan
181,"Baldini, Antonio",Felicità che pure esisti,Diagonale,Sormani,1927,BTB Segn. 186 ,nan
182,"Baldini, Gabriele",Berlin und Umgebungen,Torino,Baedeker,1937,BTB Segn. 187bis ,nan
183,"Baldini, Gabriele",Italie centrale et Rome: manueldu voyageur,Milano,Baedeker,1922,BTB Segn. 187 ,nan
184,"Bailly, Auguste","Unteritalien, Sizilien, Sardinien,Malta, Korfu","MilanoNapoli, Ricciardi",Bædeker,1968,BTB Segn. 750 ,nan
185,"Bally, Charles",Teoria matematica dei fenomenicollettivi,"Parma, Guanda",Barbera,1917,BAL ,nan
186,"Balzac, Honoré de",Byzance,Torino,Fayard,1964,BAL ,nan
187,"Balzac, Honoré de",Histoire de France,Milano,Fayard,1940,BAL ,nan
188,"Balzac, Honoré de", Napoléon,"Milano, Il Saggiatore",Fayard,1951,BAL ,nan
189,"Balzac, Honoré de",Sommario della storia d’Italia (dalle origini fino ai nostri tempi),"Milano, Garzanti",Sommario della storia d’Italia (dalle origini fino ai nostri tempi). Con una prefazione e una appendice di storia del Risorgimento dal,1969,BAL ,nan
190,"Balzac, Honoré de", Vita di Dante,"Nota di possesso di Enrico Gadda, San Pietro in Gù",Le Monnier,1954,BTB Segn. 949 ,nan
191,"Balzac, Honoré de",Beato fra le donne,Paris,Beato fra le donne. Seconda edizione molto accresciuta ma niente aggiornata de «La dolce calamita» (,1953,BTB Segn. 952 ,"Pieghe, sottolineature e postille. Segnalibro."
192,"Balzac, Honoré de",Id,Paris,Id. Diagonale,1960,BTB Segn. 950-951 ,nan
193,"Balzaretti, Liliana", Melafumo. Quindici variazioni. Con cinque tavole di A. Bartoli,"Paris, CalmannLévy",ERI,4000,BAL ,nan
194,"Bandello, Matteo", Michelaccio,Milano,Mondadori,1494,BTB Segn. 948 ,Nota di possesso autografa di Enrico Gadda in data 06.1917.
195,"Bandello, Matteo", Quel caro magon di Lucia. Microscopie manzoniane. Con un disegno di A. Bartoli,"Lanciano, Carabba",Ricciardi,1492,BTB Segn. 2345-2346 ,nan
196,"Bandini, Franco","Due poemetti elisabettiani: ‘Hero and Leander’ di Christopher Marlowe, ‘Venus e Adonis’ di William Shakespeare",Como,Guanda,1920,BTB Segn. 188 ,Dedica del curatore. Parzialmente intonso.
197,"Banti, Anna", Selva e torrente,Milano,Einaudi,1965,BAL ,Disegni
198,Ead.,Mazzarino,Firenze,Mondadori,1965,BAL ,nan
199,Ead.,Linguistica generale e linguistica francese,Milano,Il Saggiatore,1921,BTB Segn. 189 ,Dedica dell’autrice in data 2.1956.
200,"Barbagallo, Corrado",Illusioni perdute,"Milano, Mondadori",Garzanti,1940,BTB Segn. 190 ,Dedica dell’autrice.
201,"Barbagallo, Corrado"," Mercadet, homme d’affaires. Paris, Nilsson, s.d",Milano,Marzo,1901,BTB Segn. 191 ,"Dedica dell’autrice, giugno 1960."
202,"Barbagallo, Corrado", Les paysans: scènes de la vie de campagne,"Milano, Mondadori",Michel,1929,BTB Segn. 1449 ,nan
